Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0242608603884175,0.000941782403866838,0.161277046716716,0,0,0,0.964324036915094,0.00138184345008643,2.24386688768857E-06,-4.9156239453518E-06,0.00132339360576493,-2.22771738954188E-07,0.00180451595701426,0,0,0,0,0,0,package://mini_mec_four_arm/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://mini_mec_four_arm/meshes/base_link.STL,,装配体00^ROS教育机器人 - 四自由度-1,坐标系0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,4.89650032380745E-06,2.85003743513701E-06,0.0233864908345848,0,0,0,0.0528664319862723,6.04432505174197E-06,6.42470647469883E-10,1.13403723159527E-09,6.043453127262E-06,6.47662758829591E-10,7.83046693677153E-06,0,0,0,0,0,0,package://mini_mec_four_arm/meshes/Link1.STL,1,1,1,1,0,0,0,0,0,0,package://mini_mec_four_arm/meshes/Link1.STL,,轮1-1,坐标系1,基准轴1,joint1,revolute,0.0734779429714969,-0.0688295279026024,0.037,1.5707963267953,1.5707963267949,0,base_link,0,0,-1,0,0,-3.14,3.14,,,,,,,,
Link2,-5.11580597498118E-06,3.01168768439969E-06,0.0232620873949244,0,0,0,0.0505856351299081,5.77351459295277E-06,-6.53871442489076E-10,-1.14535771257589E-09,5.77266607437441E-06,6.38528288142685E-10,7.74203422438329E-06,0,0,0,0,0,0,package://mini_mec_four_arm/meshes/Link2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://mini_mec_four_arm/meshes/Link2.STL,,装配体2^ROS教育机器人 - 四自由度-1,坐标系2,基准轴2,joint2,revolute,-0.0995220570285331,-0.0688295279025332,0.037,1.5707963267953,1.5707963267949,0,base_link,0,0,1,0,0,-3.14,3.14,,,,,,,,
Link3,5.1365808728665E-06,2.99084281103063E-06,0.0233318663561555,0,0,0,0.0503851668483252,5.77286944663107E-06,6.4243955917302E-10,1.13420283864646E-09,5.77199742241181E-06,6.47666981201367E-10,7.74124442960726E-06,0,0,0,0,0,0,package://mini_mec_four_arm/meshes/Link3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://mini_mec_four_arm/meshes/Link3.STL,,装配体3^ROS教育机器人 - 四自由度-1,坐标系3,基准轴3,joint3,revolute,-0.0995220570284772,0.0711704720974968,0.037,1.5707963267945,1.5707963267949,0,base_link,0,0,-1,0,0,-3.14,3.14,,,,,,,,
Link4,-4.96038281075362E-06,2.92016479913615E-06,0.0233166404325246,0,0,0,0.0521703112796275,5.90485876571993E-06,-6.53908899809813E-10,-1.14534317369952E-09,5.90401027745708E-06,6.38501492001224E-10,7.83002141734932E-06,0,0,0,0,0,0,package://mini_mec_four_arm/meshes/Link4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://mini_mec_four_arm/meshes/Link4.STL,,装配体4^ROS教育机器人 - 四自由度-1,坐标系4,基准轴5,joint4,revolute,0.0734779429715529,0.0711704720974276,0.037,1.5707963267945,1.5707963267949,0,base_link,0,0,-1,0,0,-3.14,3.14,,,,,,,,
Link5,0.0525,-3.60822483003176E-16,-0.00717232457543077,0,0,0,0.0182961255655802,1.0513268753275E-05,3.3334660312705E-20,5.62010993018432E-21,1.62397575138127E-05,-1.10281950372364E-20,7.56857037469913E-06,0,0,0,0,0,0,package://mini_mec_four_arm/meshes/Link5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://mini_mec_four_arm/meshes/Link5.STL,,装配体5^ROS教育机器人 - 四自由度-1,坐标系5,基准轴5,joint5,revolute,0.0859779429722549,0.00153207350830251,0.1575,1.5707963267945,-1.5707963267949,0,base_link,0,0,-1,0,0,-3.14,3.14,,,,,,,,
Link6,-0.0206963570082246,0.00116506235636091,0.00281764144444208,0,0,0,0.0488188930518477,1.21270456083974E-05,-1.29374135397093E-07,-1.51620883401231E-07,1.97453837177464E-05,-1.4496687950046E-07,1.15876519674205E-05,0,0,0,0,0,0,package://mini_mec_four_arm/meshes/Link6.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://mini_mec_four_arm/meshes/Link6.STL,,装配体6^ROS教育机器人 - 四自由度-1,坐标系6,基准轴6,joint6,revolute,0.105,0,0.000380439771702538,-3.14159265358979,0,3.14159265358979,Link5,0,0,-1,0,0,-3.14,3.14,,,,,,,,
Link7,0.0320491503624209,-0.00940216069084657,0.00617914751476116,0,0,0,0.0777888360737409,1.69080832215357E-05,7.14015112511598E-11,-1.4180338298345E-07,1.88070585676967E-05,1.43436258826756E-07,1.29763203620163E-05,0,0,0,0,0,0,package://mini_mec_four_arm/meshes/Link7.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://mini_mec_four_arm/meshes/Link7.STL,,装配体7^ROS教育机器人 - 四自由度-1,坐标系7,基准轴7,joint7,revolute,-0.0974999999999999,-0.00100000000000075,0.00294298277127994,0,0,-3.14159265358979,Link6,0,0,1,0,0,-3.14,3.14,,,,,,,,
Link8,-0.00369362330435777,0.00436132757395002,-0.00376492941233544,0,0,0,0.00297108566800576,2.05767246894327E-07,1.40876829989062E-07,1.90823020774252E-21,2.13065038138543E-07,-2.62514833343569E-22,4.07485385419221E-07,0,0,0,0,0,0,package://mini_mec_four_arm/meshes/Link8.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://mini_mec_four_arm/meshes/Link8.STL,,装配体8^ROS教育机器人 - 四自由度-1,坐标系8,基准轴8,joint8,revolute,0.0540000000000393,0.000500000000001083,0.0196166694251245,1.5707963267949,1.5707963267949,0,Link7,0,0,-1,0,0,-3.14,3.14,,,,,,,,
Link9,-0.00658804624479999,0.0193552201368047,0.00631635545310039,0,0,0,0.0110869938441036,2.26638567960554E-06,-3.12207718593047E-07,-3.99343074508915E-14,7.09396223567129E-07,-3.44198262464447E-13,2.52356347882981E-06,0,0,0,0,0,0,package://mini_mec_four_arm/meshes/Link9.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://mini_mec_four_arm/meshes/Link9.STL,,装配体9^ROS教育机器人 - 四自由度-1,坐标系9,基准轴9,joint9,revolute,-0.0240989659741024,0.0253818801308945,-0.00599999999999951,0,0,0,Link8,0,0,-1,0,0,-3.14,3.14,,,,,,,,
